PlotCode,cwd,year,new_visit_code,mean,sd,cwd_z
ESV-34-T-524-03,164.9,2011,ESV-34-T-524-03.01_Pre,175.58,82.19735879639595,-0.12993118217404676
ESV-34-T-524-03,401.40000000000003,2012,ESV-34-T-524-03.post0-1,175.58,82.19735879639595,2.7472902208373804
ESV-34-T-524-03,173.3,2017,ESV-34-T-524-03.post04-5,175.58,82.19735879639595,-0.027738117542774023
ESV-34-T-524-03,230.60000000000002,2022,ESV-34-T-524-03.post10-11,175.58,82.19735879639595,0.6693645733348361
ESV-34-T-524-04,164.9,2011,ESV-34-T-524-04.01_Pre,175.58,82.19735879639595,-0.12993118217404676
ESV-34-T-524-04,401.40000000000003,2012,ESV-34-T-524-04.post0-1,175.58,82.19735879639595,2.7472902208373804
ESV-34-T-524-04,173.3,2017,ESV-34-T-524-04.post04-5,175.58,82.19735879639595,-0.027738117542774023
ESV-34-T-524-04,230.60000000000002,2022,ESV-34-T-524-04.post10-11,175.58,82.19735879639595,0.6693645733348361
ESV-34-T-524-06,164.9,2011,ESV-34-T-524-06.01_Pre,175.58,82.19735879639595,-0.12993118217404676
ESV-34-T-524-06,401.40000000000003,2012,ESV-34-T-524-06.post0-1,175.58,82.19735879639595,2.7472902208373804
ESV-34-T-524-06,173.3,2017,ESV-34-T-524-06.post04-5,175.58,82.19735879639595,-0.027738117542774023
ESV-34-T-524-06,230.60000000000002,2022,ESV-34-T-524-06.post10-11,175.58,82.19735879639595,0.6693645733348361
P1-2-C-01,210.3,2011,P1-2-C-01.01_Pre,177.98000000000002,74.94974132135435,0.4312223021747978
P1-2-C-01,366.6,2012,P1-2-C-01.post0-1,177.98000000000002,74.94974132135435,2.5166197597837368
P1-2-C-01,187.2,2017,P1-2-C-01.post04-5,177.98000000000002,74.94974132135435,0.12301576813278538
P1-2-C-01,110.80000000000001,2023,P1-2-C-01.post10-11,177.98000000000002,74.94974132135435,-0.8963339808200161
P1-2-C-02,210.3,2011,P1-2-C-02.01_Pre,177.98000000000002,74.94974132135435,0.4312223021747978
P1-2-C-02,366.6,2012,P1-2-C-02.post0-1,177.98000000000002,74.94974132135435,2.5166197597837368
P1-2-C-02,187.2,2017,P1-2-C-02.post04-5,177.98000000000002,74.94974132135435,0.12301576813278538
P1-2-C-02,110.80000000000001,2023,P1-2-C-02.post10-11,177.98000000000002,74.94974132135435,-0.8963339808200161
P1-2-C-03,210.3,2011,P1-2-C-03.01_Pre,177.98000000000002,74.94974132135435,0.4312223021747978
P1-2-C-03,366.6,2012,P1-2-C-03.post0-1,177.98000000000002,74.94974132135435,2.5166197597837368
P1-2-C-03,187.2,2017,P1-2-C-03.post04-5,177.98000000000002,74.94974132135435,0.12301576813278538
P1-2-C-03,110.80000000000001,2023,P1-2-C-03.post10-11,177.98000000000002,74.94974132135435,-0.8963339808200161
P1-2-C-04,210.3,2011,P1-2-C-04.01_Pre,177.98000000000002,74.94974132135435,0.4312223021747978
P1-2-C-04,366.6,2012,P1-2-C-04.post0-1,177.98000000000002,74.94974132135435,2.5166197597837368
P1-2-C-04,187.2,2017,P1-2-C-04.post04-5,177.98000000000002,74.94974132135435,0.12301576813278538
P1-2-C-04,110.80000000000001,2023,P1-2-C-04.post10-11,177.98000000000002,74.94974132135435,-0.8963339808200161
P1-2-C-05,210.3,2011,P1-2-C-05.01_Pre,177.98000000000002,74.94974132135435,0.4312223021747978
P1-2-C-05,366.6,2012,P1-2-C-05.post0-1,177.98000000000002,74.94974132135435,2.5166197597837368
P1-2-C-05,187.2,2017,P1-2-C-05.post04-5,177.98000000000002,74.94974132135435,0.12301576813278538
P1-2-C-05,110.80000000000001,2023,P1-2-C-05.post10-11,177.98000000000002,74.94974132135435,-0.8963339808200161
P1-2-T-610-03,210.3,2011,P1-2-T-610-03.01_Pre,177.98000000000002,74.94974132135435,0.4312223021747978
P1-2-T-610-03,366.6,2012,P1-2-T-610-03.post0-1,177.98000000000002,74.94974132135435,2.5166197597837368
P1-2-T-610-03,187.2,2017,P1-2-T-610-03.post04-5,177.98000000000002,74.94974132135435,0.12301576813278538
P1-2-T-610-03,110.80000000000001,2023,P1-2-T-610-03.post10-11,177.98000000000002,74.94974132135435,-0.8963339808200161
P1-2-T-610-05,210.3,2011,P1-2-T-610-05.01_Pre,177.98000000000002,74.94974132135435,0.4312223021747978
P1-2-T-610-05,366.6,2012,P1-2-T-610-05.post0-1,177.98000000000002,74.94974132135435,2.5166197597837368
P1-2-T-610-05,187.2,2017,P1-2-T-610-05.post04-5,177.98000000000002,74.94974132135435,0.12301576813278538
P1-2-T-610-05,110.80000000000001,2023,P1-2-T-610-05.post10-11,177.98000000000002,74.94974132135435,-0.8963339808200161
P1-2-T-615-02,188.3,2011,P1-2-T-615-02.01_Pre,159.66000000000003,72.54147731494365,0.39480861239780823
P1-2-T-615-02,340,2012,P1-2-T-615-02.post0-1,159.66000000000003,72.54147731494365,2.486026018150166
P1-2-T-616-02,188.3,2011,P1-2-T-616-02.01_Pre,159.66000000000003,72.54147731494365,0.39480861239780823
P1-2-T-616-02,340,2012,P1-2-T-616-02.post0-1,159.66000000000003,72.54147731494365,2.486026018150166
P1-2-T-616-02,155.3,2017,P1-2-T-616-02.post04-5,159.66000000000003,72.54147731494365,-0.060103545742124655
P1-2-T-616-02,90.80000000000001,2023,P1-2-T-616-02.post10-11,159.66000000000003,72.54147731494365,-0.9492500366519935
P2-3-C-01,220.8,2011,P2-3-C-01.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-C-01,377.1,2012,P2-3-C-01.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-C-01,195.4,2017,P2-3-C-01.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-C-01,113.4,2023,P2-3-C-01.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-C-02,220.8,2011,P2-3-C-02.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-C-02,377.1,2012,P2-3-C-02.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-C-02,195.4,2017,P2-3-C-02.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-C-02,113.4,2023,P2-3-C-02.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-C-03,220.8,2011,P2-3-C-03.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-C-03,377.1,2012,P2-3-C-03.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-C-03,195.4,2017,P2-3-C-03.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-C-03,113.4,2023,P2-3-C-03.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-C-04,220.8,2011,P2-3-C-04.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-C-04,377.1,2012,P2-3-C-04.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-C-04,195.4,2017,P2-3-C-04.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
