block,trt,year,plot,cover_exotics,invaded,seedling_density_ha,sapling_density_ha,ba_m2_ha,burned,treated,cover_native,nspp_native,nspp_exotic,rel_exotic_richness,rel_exotic_cover
1,TRT: Thin,2002,1_12,0.041666667,1,3000,139.9404188,1.4720916353488416,unburned,treated,26.708333335000003,22,1,0.043478260869565216,0.0015576324110984944
1,TRT: Thin,2002,1_18,0.083333334,1,4500,239.89786080000002,1.4521313017305704,unburned,treated,32.250000001000004,22,2,0.08333333333333333,0.0025773196081145706
1,TRT: Thin,2002,1_22,0.041666667,1,1500,699.702094,0.596136282083415,unburned,treated,32.666666669,27,1,0.03571428571428571,0.0012738853604056957
1,TRT: Thin,2002,1_24,0,0,5000,4458.1019135999995,1.2600216061554064,unburned,treated,26.708333334,17,0,0,0
1,TRT: Thin,2002,1_26,0,0,500,1099.5318616,0.558513251760426,unburned,treated,24.958333333,24,0,0,0
1,TRT: Thin,2002,1_29,0,0,8000,439.8127448,1.1496860525819261,unburned,treated,34.416666667,21,0,0,0
1,TRT: Thin,2002,1_33,0.125,1,2500,119.9489304,1.8772250961947647,unburned,treated,17.458333335,26,2,0.07142857142857142,0.007109004738662654
1,TRT: Thin,2022,1_2,0,0,3500,1560,0.6230835488301302,unburned,treated,47.75,14,0,0,0
1,TRT: Thin,2022,1_5,0.25,1,2000,1600,1.0260826451724328,unburned,treated,45.500000002,16,1,0.058823529411764705,0.0054644808740780555
1,TRT: Thin,2022,1_9,0,0,0,100,5.151877917685044,unburned,treated,24.958333334,15,0,0,0
1,TRT: Thin,2022,1_12,0,0,7000,640,1.7261840418004524,unburned,treated,45.333333334,16,0,0,0
1,TRT: Thin,2022,1_18,0,0,1000,460,3.4320767010962903,unburned,treated,58.375000004,15,0,0,0
1,TRT: Thin,2022,1_22,0,0,2000,1340,1.9835509045836535,unburned,treated,48.458333335,18,0,0,0
1,TRT: Thin,2022,1_24,0,0,2000,4920,2.0776363493024768,unburned,treated,47.708333331,16,0,0,0
1,TRT: Thin,2022,1_26,0,0,3000,2620,1.1869926722346342,unburned,treated,42.79166667,19,0,0,0
1,TRT: Thin,2022,1_29,0,0,3000,1900,2.8350486138496636,unburned,treated,44.833333333,13,0,0,0
1,TRT: Thin,2022,1_33,0,0,500,400,3.22673349519203,unburned,treated,42.875000002,23,0,0,0
2,TRT: Burn,2002,2_2,0,0,2500,199.91488400000003,17.813934812021404,burned,treated,18.333333333,18,0,0,0
2,TRT: Burn,2002,2_5,0,0,4000,3958.3147034,6.569775499119478,burned,treated,18.416666666999998,21,0,0,0
