block,trt,year,plot,cover_exotics,invaded,seedling_density_ha,sapling_density_ha,ba_m2_ha,burned,treated,cover_native,nspp_native,nspp_exotic,rel_exotic_richness,rel_exotic_cover
3,TRT: Thin + Burn,2002,3_26,0.125,1,0,0,0.47964310662228016,burned,treated,20.458333334,26,2,0.07142857142857142,0.006072874493730434
3,TRT: Thin + Burn,2002,3_29,1.916666666,1,0,0,0.0383526890928896,burned,treated,16.500000001,23,6,0.20689655172413793,0.10407239815196248
3,TRT: Thin + Burn,2002,3_33,0.791666667,1,0,139.9404188,0.7368292437379366,burned,treated,20.666666668,23,4,0.14814814814814814,0.03689320389616363
3,TRT: Thin + Burn,2022,3_2,0,0,3000,60,2.2746098736686675,burned,treated,9.125000003,20,0,0,0
3,TRT: Thin + Burn,2022,3_5,0.916666667,1,3000,60,1.9624718734531976,burned,treated,19.208333334,19,2,0.09523809523809523,0.045548654258606276
3,TRT: Thin + Burn,2022,3_9,0,0,10000,60,0.8421078566700236,burned,treated,11.541666668,17,0,0,0
3,TRT: Thin + Burn,2022,3_12,0.041666667,1,4500,40,1.4793837189813643,burned,treated,8.41666667,18,1,0.05263157894736842,0.004926108411657647
3,TRT: Thin + Burn,2022,3_18,0.083333333,1,1500,220,1.6694795338312713,burned,treated,29.833333331000002,19,1,0.05,0.0027855153094404916
3,TRT: Thin + Burn,2022,3_22,0.083333334,1,3500,80,1.5947148452904356,burned,treated,30.625,23,2,0.08,0.0027137042278922397
3,TRT: Thin + Burn,2022,3_24,0.708333333,1,3000,340,0.3175372499094086,burned,treated,17.375000002,21,3,0.125,0.03917050689039903
3,TRT: Thin + Burn,2022,3_26,0.416666667,1,1000,120,0.4621374892360818,burned,treated,26.750000001,17,5,0.22727272727272727,0.015337423324400617
3,TRT: Thin + Burn,2022,3_29,0.541666666,1,500,220,0.07135342118988942,burned,treated,30.916666666999998,18,3,0.14285714285714285,0.01721854302534801
3,TRT: Thin + Burn,2022,3_33,1.083333333,1,4000,640,0.47549486139340197,burned,treated,43.833333333,17,1,0.05555555555555555,0.024118738397389518
3,TRT: Thin,2002,3_2,0.083333333,1,6000,99.95744200000001,2.2430341156045515,unburned,treated,24.541666667,17,1,0.05555555555555555,0.003384094741116751
3,TRT: Thin,2002,3_5,1.125000001,1,6000,1499.36163,0.893831993127986,unburned,treated,28.791666669,25,3,0.10714285714285714,0.03760445685374881
3,TRT: Thin,2002,3_9,0.083333334,1,3500,119.94893040000001,1.698691220001242,unburned,treated,24.208333333,23,2,0.08,0.003430531759815705
3,TRT: Thin,2002,3_12,0.166666667,1,4000,2099.1062816,1.5309327598548832,unburned,treated,28.375000001,22,2,0.08333333333333333,0.005839416069800202
3,TRT: Thin,2002,3_18,8.291666667000001,1,7500,4757.9742400000005,1.5758202864032005,unburned,treated,23.791666665,24,3,0.1111111111111111,0.2584415584626885
3,TRT: Thin,2002,3_22,0.125,1,2500,259.8893492,1.5570383291779861,unburned,treated,21.125000002,25,2,0.07407407407407407,0.005882352940622837
