PlotCode,aet_norm,def_norm,tmax_norm,tmin_norm,aet_trt,def_trt,tmax_trt,tmin_trt,aet_trt1,def_trt1,tmax_trt1,tmin_trt1,def_z_trt,def_z_trt1
P2-3-T-589-02,383.5,519.5,2421.5,-1316.5,241,845,2633,-1134,389,440,2408,-1558,2.6956303011697833,-0.7632257722500992
P2-3-T-589-04,383.5,532.5,2452.5,-1325.5,242,858,2664,-1143,390,452,2439,-1567,2.6967524865149355,-0.7560431915836571
P2-3-T-596-04,383,529.5,2411,-1326.5,241,855,2623,-1143,389,450,2398,-1568,2.6956153319215734,-0.7584794036666054
P2-3-T-601-02,381.5,511,2391.5,-1357.5,240,835,2602,-1173,388,432,2378,-1598,2.692084608468959,-0.7667148512961546
P2-3-T-601-04,382.5,520.5,2411.5,-1338,241,845,2623,-1154,389,441,2399,-1579,2.692649634834233,-0.7644386675164987
P2-3-T-602-01,381.5,519,2393,-1347.5,239,843,2603,-1163,387,440,2379,-1589,2.6923749225666365,-0.7649604798582845
P2-3-T-602-06,381.5,511,2391.5,-1357.5,240,835,2602,-1173,388,432,2378,-1598,2.692084608468959,-0.7667148512961546
P2-3-T-603-05,380,514,2372.5,-1357.5,237,838,2583,-1173,385,435,2359,-1599,2.696380838183021,-0.7668343252752523
P2-3-T-604-01,379.5,520,2373,-1339.5,237,843,2583,-1155,384,440,2358,-1581,2.6901996358070814,-0.7676478654588783
P2-3-T-606-01,383,518,2413.5,-1348,242,842,2624,-1163,390,438,2400,-1589,2.696717585113463,-0.7681628486377484
PHA-2C1-01,367.5,548.5,2361,-1391,429,594,2454,-1364,312,637,2429,-1244,0.33145452374303846,0.7016504853261724
PHA-2C1-02,367.5,553.5,2371,-1391,430,600,2464,-1365,312,642,2439,-1245,0.34292434450347414,0.7041991556024519
PHA-2C1-06,372.5,525,2340,-1399.5,436,568,2432,-1373,317,613,2406,-1253,0.30376561493912607,0.6928392204114414
PHA-2C1-08,369.5,535,2351,-1401.5,432,578,2444,-1374,314,623,2418,-1254,0.31315124851238696,0.7020695424330146
PHA-2C1-10,373.5,523,2349,-1398.5,438,565,2442,-1372,319,611,2416,-1252,0.292078871624144,0.6899750639650313
PHA-2C1-11,372,518,2329,-1398.5,436,559,2422,-1372,317,606,2396,-1252,0.2841246285344465,0.6912544316173429
PHA-2C2-03,371.5,525.5,2351,-1401,436,568,2443,-1374,317,613,2417,-1254,0.305008676380807,0.6945656424300872
PHA-2C2-04,372.5,525.5,2350,-1389.5,437,568,2442,-1363,318,613,2416,-1243,0.30259855617298154,0.6916538426811006
PHA-2C2-05,369,529.5,2340,-1399,432,572,2433,-1372,313,617,2407,-1252,0.3024496957417826,0.6913135902669316
PHA-2C2-07,367.5,553.5,2371,-1391,430,600,2464,-1365,312,642,2439,-1245,0.34292434450347414,0.7041991556024519
PHA-2C2-09,368.5,540.5,2351,-1401,430,585,2444,-1374,313,628,2418,-1254,0.3260974778776118,0.697054926256906
PHA-2C2-12,370,526.5,2340,-1400,432,569,2433,-1373,314,615,2407,-1253,0.30057833558683084,0.6986571293582573
PHA-2C3-01,372,527,2374.5,-1368.5,439,568,2466,-1344,318,617,2442,-1226,0.26028792861184513,0.6812156019445326
PHA-2C3-02,371.5,518.5,2365,-1370.5,438,560,2457,-1346,317,609,2432,-1227,0.2577438588854409,0.6801334604033877
PHA-2C3-03,375,514,2384.5,-1368.5,442,554,2477,-1345,321,604,2452,-1226,0.24641237478579286,0.6777059129172848
PHA-2C3-04,375.5,510.5,2395.5,-1380.5,443,551,2487,-1356,322,600,2463,-1237,0.25033215624567157,0.6737939165231592
PHA-2C3-05,375,514,2384.5,-1368.5,442,554,2477,-1345,321,604,2452,-1226,0.24641237478579286,0.6777059129172848
PHA-2C3-06,375.5,535,2425.5,-1393,443,577,2518,-1369,322,624,2492,-1249,0.2754104266028326,0.6790785154905595
PHA-2T1-01,375.5,512.5,2348,-1388,442,554,2441,-1361,322,601,2414,-1241,0.2787194937654268,0.6859676660029939
PHA-2T1-02,375,518.5,2357.5,-1388,440,560,2450,-1361,321,607,2424,-1241,0.2811005048121536,0.6876150810020373
PHA-2T1-04,374,512,2338,-1398,440,553,2430,-1371,320,600,2404,-1251,0.27456853079465243,0.681657519670004
PHA-2T1-05,371.5,519,2329,-1398.5,435,561,2421,-1372,316,607,2395,-1251,0.2880760880835978,0.6860190325834632
PHA-2T1-15,375,518.5,2357.5,-1388,440,560,2450,-1361,321,607,2424,-1241,0.2811005048121536,0.6876150810020373
PHA-2T1-17,375.5,512.5,2348,-1388,442,554,2441,-1361,322,601,2414,-1241,0.2787194937654268,0.6859676660029939
PHA-2T2-01,374,510.5,2348.5,-1387.5,439,551,2440,-1360,320,599,2413,-1242,0.2637528739706906,0.6802047802402024
PHA-2T2-02,374.5,522,2366.5,-1383.5,440,563,2459,-1358,320,611,2433,-1239,0.2654294734238615,0.6795339606723563
PHA-2T2-03,374,510.5,2348.5,-1387.5,439,551,2440,-1360,320,599,2413,-1242,0.2637528739706906,0.6802047802402024
PHA-2T2-04,376.5,522,2397.5,-1365.5,443,564,2490,-1339,323,611,2463,-1221,0.2770186530744528,0.6826222884171091
PHA-2T2-05,372,514.5,2348,-1386,437,556,2440,-1359,317,604,2413,-1241,0.2689071446207742,0.684385994678622
PHA-2T2-06,372,515,2357,-1398,437,556,2449,-1371,318,604,2422,-1252,0.2686341990822422,0.6841371493276011
PHA-2T3-01,368,521,2356,-1387.5,434,563,2448,-1362,314,611,2421,-1242,0.2733857711969761,0.6873452985614819
PHA-2T3-02,369,520,2356.5,-1388.5,434,561,2448,-1362,314,609,2421,-1243,0.2672359895287836,0.6814661562902992
PHA-2T3-03,370,524.5,2357,-1388,435,566,2449,-1361,316,614,2422,-1242,0.273476264512764,0.6875728164563809
PHA-2T3-04,370,510.5,2337.5,-1388,435,551,2428,-1361,316,600,2401,-1243,0.2576577951876103,0.6822732199923041
PHA-2T3-05,370,524.5,2357,-1388,435,566,2449,-1361,316,614,2422,-1242,0.273476264512764,0.6875728164563809
PHA-2T3-06,372.5,526.5,2377,-1377.5,438,569,2468,-1352,318,616,2442,-1232,0.27960022180575456,0.6843602964937562
