PlotCode,cwd,year,mean,sd,cwd_z
ESV-13-C-01,118.10000000000001,1991,160.40333340962727,80.88687937993711,-0.5229937628193383
ESV-13-C-01,164.10000610351562,1992,160.40333340962727,80.88687937993711,0.045701759323963594
ESV-13-C-01,105.80000305175781,1993,160.40333340962727,80.88687937993711,-0.6750579423566322
ESV-13-C-01,222.39999389648438,1994,160.40333340962727,80.88687937993711,0.7664612723609973
ESV-13-C-01,19.200000762939453,1995,160.40333340962727,80.88687937993711,-1.745688963761796
ESV-13-C-01,149.5,1996,160.40333340962727,80.88687937993711,-0.13479730573376142
ESV-13-C-01,47.29999923706055,1997,160.40333340962727,80.88687937993711,-1.3982902423680403
ESV-13-C-01,109.30000305175781,1998,160.40333340962727,80.88687937993711,-0.631787636630533
ESV-13-C-01,97.9,1999,160.40333340962727,80.88687937993711,-0.7727252415813974
ESV-13-C-01,258.6000061035156,2000,160.40333340962727,80.88687937993711,1.214000013928646
ESV-13-C-01,187.8000030517578,2001,160.40333340962727,80.88687937993711,0.3387035060834096
ESV-13-C-01,283.3999938964844,2002,160.40333340962727,80.88687937993711,1.520600886444443
ESV-13-C-01,153.3000030517578,2003,160.40333340962727,80.88687937993711,-0.08781807893099826
ESV-13-C-01,212.8000030517578,2004,160.40333340962727,80.88687937993711,0.6477771184126906
ESV-13-C-01,98.19999694824219,2005,160.40333340962727,80.88687937993711,-0.7690163959621585
ESV-13-C-01,320.79998779296875,2006,160.40333340962727,80.88687937993711,1.9829749350316226
ESV-13-C-01,219.1999969482422,2007,160.40333340962727,80.88687937993711,0.7268998877115617
ESV-13-C-01,154.89999389648438,2008,160.40333340962727,80.88687937993711,-0.0680374809280616
ESV-13-C-01,79.4000015258789,2009,160.40333340962727,80.88687937993711,-1.0014396958407092
ESV-13-C-01,113,2010,160.40333340962727,80.88687937993711,-0.5860447797345117
ESV-13-C-01,148.60000610351562,2011,160.40333340962727,80.88687937993711,-0.14592388032019066
ESV-13-C-01,380.20001220703125,2012,160.40333340962727,80.88687937993711,2.717334139755694
ESV-13-C-01,148,2013,160.40333340962727,80.88687937993711,-0.1533417224735183
ESV-13-C-01,133.8000030517578,2014,160.40333340962727,80.88687937993711,-0.32889549654783745
ESV-13-C-01,60.70000076293945,2015,160.40333340962727,80.88687937993711,-1.2326267672951896
ESV-13-C-01,154.89999389648438,2016,160.40333340962727,80.88687937993711,-0.0680374809280616
ESV-13-C-01,223.5,2017,160.40333340962727,80.88687937993711,0.7800605867609105
ESV-13-C-01,98.19999694824219,2018,160.40333340962727,80.88687937993711,-0.7690163959621585
ESV-13-C-01,219.3000030517578,2019,160.40333340962727,80.88687937993711,0.7281362576183037
ESV-13-C-01,129.89999389648438,2020,160.40333340962727,80.88687937993711,-0.37711109325734266
ESV-13-C-01,207.3000030517578,2021,160.40333340962727,80.88687937993711,0.5797809237002488
ESV-13-C-01,36.599998474121094,2022,160.40333340962727,80.88687937993711,-1.5305737578771508
ESV-13-C-01,196.10000610351562,2023,160.40333340962727,80.88687937993711,0.44131598310544334
ESV-13-C-02,199.7,1991,221.46666717529297,80.71636413995432,-0.2696685784502347
ESV-13-C-02,237.39999389648438,1992,221.46666717529297,80.71636413995432,0.19739896476957966
ESV-13-C-02,147.60000610351562,1993,221.46666717529297,80.71636413995432,-0.9151386073795363
ESV-13-C-02,291.6000061035156,1994,221.46666717529297,80.71636413995432,0.8688862497153399
ESV-13-C-02,47.400001525878906,1995,221.46666717529297,80.71636413995432,-2.1565226271540103
ESV-13-C-02,187.10000610351562,1996,221.46666717529297,80.71636413995432,-0.4257706778292057
ESV-13-C-02,112.5999984741211,1997,221.46666717529297,80.71636413995432,-1.3487558546666902
ESV-13-C-02,165.60000610351562,1998,221.46666717529297,80.71636413995432,-0.6921355002426768
ESV-13-C-02,203.8,1999,221.46666717529297,80.71636413995432,-0.2188734262690608
ESV-13-C-02,333.1000061035156,2000,221.46666717529297,80.71636413995432,1.383032302280877
ESV-13-C-02,226.1999969482422,2001,221.46666717529297,80.71636413995432,0.05864151369283787
ESV-13-C-02,313.1000061035156,2002,221.46666717529297,80.71636413995432,1.135251072128811
ESV-13-C-02,201.5,2003,221.46666717529297,80.71636413995432,-0.24736826773654857
ESV-13-C-02,268,2004,221.46666717529297,80.71636413995432,0.5765043225190714
ESV-13-C-02,173.1999969482422,2005,221.46666717529297,80.71636413995432,-0.5979787462101374
ESV-13-C-02,352.20001220703125,2006,221.46666717529297,80.71636413995432,1.6196634526929308
ESV-13-C-02,270.3999938964844,2007,221.46666717529297,80.71636413995432,0.6062379945204888
ESV-13-C-02,221.5,2008,221.46666717529297,80.71636413995432,4.1296241551756936e-4
ESV-13-C-02,148,2009,221.46666717529297,80.71636413995432,-0.9101830583933255
ESV-13-C-02,166.39999389648438,2010,221.46666717529297,80.71636413995432,-0.6822244022702552
ESV-13-C-02,228.5,2011,221.46666717529297,80.71636413995432,0.08713639296874072
ESV-13-C-02,438.3999938964844,2012,221.46666717529297,80.71636413995432,2.687600327797844
ESV-13-C-02,223,2013,221.46666717529297,80.71636413995432,0.01899655467692253
ESV-13-C-02,194.89999389648438,2014,221.46666717529297,80.71636413995432,-0.3291361493035609
ESV-13-C-02,112.69999694824219,2015,221.46666717529297,80.71636413995432,-1.3475169674201375
ESV-13-C-02,215.1999969482422,2016,221.46666717529297,80.71636413995432,-0.07763816289079851
ESV-13-C-02,298.20001220703125,2017,221.46666717529297,80.71636413995432,0.9506541312823522
ESV-13-C-02,161.1999969482422,2018,221.46666717529297,80.71636413995432,-0.7466474843013771
