SpeciesCode,CodeType,prevalence,FinalName,Family,GrowthForm,Lifespan,NativityL48
FRSP,Forb,170,Frasera speciosa,Gentianaceae,forb,long-lived,native
PAFE4,Forb,158,Packera fendleri,Asteraceae,forb,long-lived,native
PIPU,Tree,149,NA,NA,NA,NA,NA
POHI6,Forb,143,Potentilla hippiana,Asteraceae,forb,long-lived,native
MAST4,Forb,138,Maianthemum stellatum,Liliaceae,forb,long-lived,native
ARFE,Forb,136,Arabis fendleri,Brassicaceae,forb,long-lived,native
PACA15,Forb,131,NA,NA,NA,NA,NA
RICE,Shrub,129,Ribes cereum,Grossulariaceae,shrub,long-lived,native
HEVI4,Forb,128,Heterotheca villosa,Asteraceae,forb,long-lived,native
FEAR2,Graminoid,127,NA,NA,NA,NA,NA
NOFE3,Forb,121,Noccaea fendleri,Brassicaceae,forb,long-lived,native
POFE,Graminoid,116,Poa fendleriana,Poaceae,graminoid,long-lived,native
ARLU,Forb,114,Artemisia ludoviciana,Asteraceae,forb,long-lived,native
SOSI3,Forb,107,NA,NA,NA,NA,NA
PEGL3,Forb,106,Penstemon glaber,Scrophulariaceae,forb,long-lived,native
ANTEN,Forb,94,Antennaria,Asteraceae,forb,long-lived,native
SISC7,Forb,90,Silene scouleri,Caryophyllaceae,forb,long-lived,native
PSMO,Forb,89,Pseudocymopterus montanus,Apiaceae,forb,long-lived,native
ARFR4,Forb,88,Artemisia frigida,Asteraceae,forb,long-lived,native
PIEN,Tree,87,NA,NA,NA,NA,NA
TAOF,Forb,84,Taraxacum officinale,Asteraceae,forb,long-lived,exotic
DRST4,Forb,80,Draba streptocarpa,Brassicaceae,forb,long-lived,native
ERCO4,Forb,79,Erigeron compositus,Asteraceae,forb,long-lived,native
ROSA5,Shrub,74,Rosa,Rosaceae,shrub,long-lived,native
FESA,Graminoid,73,Festuca saximontana,Poaceae,graminoid,long-lived,native
PUTR2,Shrub,73,Purshia tridentata,Rosaceae,shrub,long-lived,native
CLCO2,Forb,72,NA,NA,NA,NA,NA
HATR,Forb,66,Harbouria trachypleura,Apiaceae,forb,long-lived,native
BRCI2,Graminoid,65,Bromus ciliatus,Poaceae,graminoid,long-lived,native
JUSC2,Tree,64,Juniperus scopulorum,Cupressaceae,tree,long-lived,native
GABO2,Forb,63,Galium boreale,Rubiaceae,forb,long-lived,native
SCBR3,Forb,63,Scutellaria brittonii,Lamiaceae,forb,long-lived,native
JAAM,Shrub,61,Jamesia americana,Hydrangeaceae,shrub,long-lived,native
APAN2,Forb,60,Apocynum androsaemifolium,Apocynaceae,forb,long-lived,native
ERCA14,Forb,60,Erysimum capitatum,Brassicaceae,forb,short-lived,native
POPR,Graminoid,56,Poa pratensis,Poaceae,graminoid,long-lived,exotic
PRVI,Shrub,56,Prunus virginiana,Rosaceae,shrub,long-lived,native
CHAN9,Forb,51,Chamerion angustifolium,Onagraceae,forb,long-lived,native
2FORB,Forb,49,NA,NA,NA,NA,NA
CEAR4,Forb,48,Cerastium arvense,Caryophyllaceae,forb,long-lived,native
LIMU3,Forb,48,Lithospermum multiflorum,Boraginaceae,forb,long-lived,native
COPA3,Forb,47,Collinsia parviflora,Scrophulariaceae,forb,short-lived,native
ORPA3,Forb,44,NA,NA,NA,NA,NA
DEADSHRUB,Shrub,43,NA,NA,NA,NA,NA
POCO,Graminoid,43,Poa compressa,Poaceae,graminoid,long-lived,exotic
ARGL,Forb,42,Arabis glabra,Brassicaceae,forb,short-lived,native
IPAG,Forb,42,NA,NA,NA,NA,NA
OXLA3,Forb,41,Oxytropis lambertii,Fabaceae,forb,long-lived,native
PHMO4,Shrub,41,Physocarpus monogynus,Rosaceae,shrub,long-lived,native
CHFR3,Forb,40,Chenopodium fremontii,Chenopodiaceae,forb,short-lived,native
CEFE,Shrub,38,Ceanothus fendleri,Rhamnaceae,shrub,long-lived,native
ERUM,Forb,38,Eriogonum umbellatum,Polygonaceae,forb,long-lived,native
PYCH,Forb,38,Pyrola chlorantha,Pyrolaceae,forb,long-lived,native
ELEL5,Graminoid,37,Elymus elymoides,Poaceae,graminoid,long-lived,native
BRTE,Graminoid,35,Bromus tectorum,Poaceae,graminoid,short-lived,exotic
COAU2,Forb,35,Corydalis aurea,Fumariaceae,forb,short-lived,native
RUID,Shrub,34,Rubus idaeus,Rosaceae,shrub,long-lived,native
SYAL,Shrub,34,Symphoricarpos albus,Caprifoliaceae,shrub,long-lived,native
BADI,Forb,33,Bahia dissecta,Asteraceae,forb,short-lived,native
GEAM3,Forb,33,NA,NA,NA,NA,NA
ANNE,Forb,32,NA,NA,NA,NA,NA
LUAR3,Forb,32,Lupinus argenteus,Fabaceae,forb,long-lived,native
HIFE,Forb,30,Hieracium fendleri,Asteraceae,forb,long-lived,native
DRAU,Forb,29,NA,NA,NA,NA,NA
FRVE,Forb,29,Fragaria vesca,Rosaceae,forb,long-lived,native
HEPA,Forb,29,NA,NA,NA,NA,NA
HEPA11,Forb,29,Heuchera parvifolia,Saxifragaceae,forb,long-lived,native
SOMU,Forb,28,NA,NA,NA,NA,NA
SHCA,Shrub,27,Shepherdia canadensis,Elaeagnaceae,shrub,long-lived,native
ACGL,Shrub,26,Acer glabrum,Aceraceae,shrub,long-lived,native
ASPA13,Forb,26,Astragalus parryi,Fabaceae,forb,long-lived,native
PECA,Forb,26,NA,NA,NA,NA,NA
PIFL2,Tree,26,Pinus flexilis,Pinaceae,tree,long-lived,native
ARABI2,Forb,25,Arabis,Brassicaceae,forb,unknown,native
ERVE2,Forb,25,NA,NA,NA,NA,NA
RIIN2,Shrub,25,NA,NA,NA,NA,NA
SIDR,Forb,25,Silene drummondii,Caryophyllaceae,forb,long-lived,native
SYPO4,Forb,25,Symphyotrichum porteri,Asteraceae,forb,long-lived,native
LEKI2,Graminoid,24,Leucopoa kingii,Poaceae,graminoid,long-lived,native
CIAR4,Forb,23,Cirsium arvense,Asteraceae,forb,long-lived,exotic
ZIEL2,Forb,23,NA,NA,NA,NA,NA
2GRAM,Graminoid,22,NA,NA,NA,NA,NA
ASMI9,Forb,22,Astragalus miser,Fabaceae,forb,long-lived,native
GADI2,Forb,22,NA,NA,NA,NA,NA
POCO13,Forb,22,NA,NA,NA,NA,NA
CHENO,Forb,21,NA,NA,NA,NA,NA
