BLOCK,TRT,PLOT,PTORCH,MORTALITY,ABOVEGROUND_LIVECARBON,CANOPY,STABLECARBON,YEAR
2,bo,12,0.144563794,1,58.91278398,32.67683365,0,2002
2,bo,12,4.45E-08,0.16,65.59578113,33.23360933,55.10045615,2022
2,bo,18,0,0.21,17.64842875,10.48188883,13.94225871,2002
2,bo,18,0.582872808,0.98,20.34112674,13.68106287,0.406822535,2022
2,bo,22,0,0.19,60.64729577,33.13796291,49.12430957,2002
2,bo,22,2.17E-08,1,69.91540887,38.83323836,0,2022
2,bo,24,0,0.19,58.82727848,33.0626464,47.65009557,2002
2,bo,24,0.119429097,1,72.31138051,44.08635691,0,2022
2,bo,26,0.220142767,0.16,41.759564,25.39497185,35.07803376,2002
2,bo,26,0,0.19,56.22617566,34.55349118,45.54320229,2022
2,bo,29,0.121703513,0.22,40.8260454,27.33123805,31.84431541,2002
2,bo,29,0.981109798,0.98,44.18466176,27.14696806,0.883693235,2022
2,bo,33,0.075796738,0.32,30.65231693,22.54495684,20.84357551,2002
2,bo,33,0.061612941,1,42.08894709,28.53477053,0,2022
2,co ,2,0.166666672,0.22,46.53392989,26.82957458,36.29646531,2002
2,co ,2,0.135158122,0.25,67.64238506,40.2441756,50.7317888,2022
2,co ,5,0.805588901,0.96,43.1839248,24.63022542,1.727356992,2002
2,co ,5,0.249458268,0.23,40.5402189,21.81810596,31.21596855,2022
2,co ,9,0.169235259,0.16,52.44621012,28.34874056,44.0548165,2002
2,co ,9,0.070489056,0.91,43.31449197,25.28705738,3.898304277,2022
2,co ,12,0,0.22,59.01196748,31.95633807,46.02933463,2002
2,co ,12,0.630768716,0.98,63.7726041,34.5333088,1.275452082,2022
2,co ,18,0,0.19,54.11013859,32.72138862,43.82921226,2002
2,co ,18,0.001354574,1,59.60608075,37.57351994,0,2022
2,co ,22,0.168420747,0.23,35.90897363,21.70972223,27.6499097,2002
2,co ,22,0.168120369,1,51.04396326,30.28930651,0,2022
2,co ,24,0.027326243,0.25,48.77539474,30.00147684,36.58154605,2002
2,co ,24,0.099999204,0.22,60.39459314,32.53506308,47.10778265,2022
2,co ,26,0.033129796,0.21,47.48662076,27.38406116,37.5144304,2002
2,co ,26,0.685867667,0.98,44.96406263,23.91507607,0.899281253,2022
2,co ,29,0,0.17,49.77627704,31.44974044,41.31430995,2002
2,co ,29,0.686866581,0.18,62.1542076,37.2172523,50.96645023,2022
2,co ,33,0.279877275,1,68.59080022,38.5461174,0,2002
2,co ,33,0.591838002,1,85.66353864,43.97195405,0,2022
2,tb,2,0.042316623,0.16,25.25299713,13.2192893,21.21251759,2002
2,tb,2,0.021433851,0.16,36.3234261,19.76820547,30.51167792,2022
2,tb,5,0.039024848,0.27,9.441079197,6.522166162,6.891987814,2002
2,tb,5,0.19065848,0.21,19.27542477,11.64195478,15.22758557,2022
2,tb,9,0.118007816,0.34,14.56226771,8.636117631,9.611096686,2002
2,tb,9,0,1,29.94543198,23.43543621,0,2022
2,tb,12,0,0.17,22.76697059,11.72247616,18.89658559,2002
2,tb,12,0.000293591,0.54,35.14464461,17.94390017,16.16653652,2022
2,tb,18,0,0.18,27.30486444,15.23864497,22.38998884,2002
2,tb,18,0,0.15,36.45683662,19.52025048,30.98831112,2022
2,tb,22,0.031156005,0.16,30.10292752,13.51680103,25.28645912,2002
2,tb,22,0,0.13,47.90720033,18.43362561,41.67926429,2022
2,tb,24,0,0.2,27.32008594,11.16331383,21.85606875,2002
2,tb,24,0,0.14,49.63677794,20.63712781,42.68762902,2022
2,tb,26,0.154770777,0.22,20.84007354,10.15924532,16.25525736,2002
2,tb,26,0.033242971,0.22,37.87790512,19.08303789,29.544766,2022
2,tb,29,0.167595968,0.31,1.409870316,1.289374413,0.972810518,2002
2,tb,29,1.000000358,0.48,8.210820359,9.404361059,4.269626587,2022
2,tb,33,0.066641986,0.16,25.14623709,13.12719118,21.12283915,2002
2,tb,33,0.114494063,0.94,39.36047536,20.51909595,2.361628522,2022
2,to,2,0.092520028,0.21,22.83291477,14.1634349,18.03800267,2002
2,to,2,0.148920998,0.18,36.79666096,21.06283288,30.17326199,2022
2,to,5,0.585992515,0.39,27.82596152,15.49796746,16.97383653,2002
2,to,5,0.247377321,1,49.90889227,31.22600303,0,2022
2,to,9,0.033333335,0.23,17.44683254,11.28355009,13.43406106,2002
2,to,9,0,1,37.61476124,30.07627065,0,2022
2,to,12,0.257711977,0.22,23.97450834,15.42912916,18.70011651,2002
2,to,12,0.643606246,0.98,39.54232958,24.56474462,0.790846592,2022
2,to,18,0.465598643,0.88,40.70846783,23.77473519,4.88501614,2002
2,to,18,2.67E-05,0.98,66.47225759,33.80179259,1.329445152,2022
2,to,22,0.314693928,0.85,27.63036733,15.1056575,4.144555099,2002
2,to,22,0.008830083,1,54.09501115,36.78361152,0,2022
2,to,24,0,0.18,30.25785764,16.84738961,24.81144327,2002
2,to,24,6.82E-08,0.16,49.14467867,28.59395268,41.28153009,2022
2,to,26,0.518812478,0.36,8.859503361,6.09725878,5.670082151,2002
2,to,26,0.300010085,0.33,21.19196821,15.62094524,14.1986187,2022
2,to,29,0.200000003,0.14,33.55663551,17.08874399,28.85870654,2002
2,to,33,0.056009147,0.16,35.19023857,22.12078675,29.5598004,2002
3,bo,2,0.200000003,0.21,36.12068507,25.13441637,28.5353412,2002
3,bo,2,0.901329815,0.99,24.83908124,16.89477296,0.248390812,2022
3,bo,5,0.274255335,0.28,45.05297161,31.71693929,32.43813956,2002
3,bo,5,0.135728613,1,38.10554785,29.26503823,0,2022
3,bo,9,0.034490649,0.31,35.08205258,21.88476258,24.20661628,2002
3,bo,9,0.382415801,0.31,52.26568137,28.06599203,36.06332015,2022
3,bo,12,0,0.22,38.89468877,19.92570474,30.33785724,2002
3,bo,12,0.329180121,0.22,36.23522262,16.51714818,28.26347365,2022
3,bo,18,0.073896334,0.19,36.92399569,27.40236972,29.90843651,2002
3,bo,18,0.199936301,0.26,47.68743343,28.85295449,35.28870074,2022
3,bo,22,0.053728431,0.2,34.06723362,20.82429994,27.2537869,2002
3,bo,22,0.966663837,0.99,4.386069224,4.811641611,0.043860692,2022
3,bo,24,0.021696374,0.27,31.9496359,18.23679815,23.32323421,2002
3,bo,24,0.301420331,0.27,31.06296404,11.37535585,22.67596375,2022
3,bo,26,0.040082484,0.22,43.55475657,22.07320512,33.97271012,2002
3,bo,26,0.841931999,0.98,32.38080852,17.05161805,0.64761617,2022
3,bo,29,0.266664475,0.21,42.88776821,28.15684859,33.88133689,2002
3,bo,29,0.984654844,0.98,54.5803206,33.51406447,1.091606412,2022
3,bo,33,0.099998176,0.13,67.33135757,33.16430712,58.57828109,2002
3,bo,33,0.300453544,0.16,77.53662363,29.30587012,65.13076385,2022
3,co ,2,0.629003525,0.99,51.21998542,25.18362864,0.512199854,2002
3,co ,2,0.412353247,1,54.15184381,33.17075542,0,2022
3,co ,5,0,0.13,70.24242749,33.59740329,61.11091191,2002
3,co ,5,0.706146181,0.98,49.4344431,25.92596505,0.988688862,2022
3,co ,9,0.000993246,0.96,70.7700322,30.51783055,2.830801288,2002
3,co ,9,1.000000358,1,30.53178058,28.69102719,0,2022
3,co ,12,0.067584544,0.26,27.96512711,16.29187098,20.69419406,2002
3,co ,12,0.666722119,1,35.98845039,25.38682397,0,2022
3,co ,18,0.057075344,0.17,54.52479203,28.04510201,45.25557739,2002
3,co ,18,0.540050745,1,41.50509124,34.96485021,0,2022
3,co ,22,0,0.14,70.62711681,34.98912444,60.73932046,2002
3,co ,22,0.00216222,0.14,92.80892319,43.78494228,79.81567394,2022
3,co ,24,0.000374666,1,67.90646106,36.44372088,0,2002
3,co ,24,0.118850343,1,66.60441531,32.90950674,0,2022
3,co ,26,0,1,83.33191204,41.01432065,0,2002
3,co ,26,0.957273126,0.99,58.41241979,31.5388509,0.584124198,2022
3,co ,29,0,0.14,94.54426019,40.48699708,81.30806376,2002
3,co ,29,0.997469127,0.99,28.894137,21.78802158,0.28894137,2022
3,co ,33,0.032753021,0.14,90.98402731,40.05147179,78.24626349,2002
3,co ,33,0.876642942,0.98,36.42065988,18.15169615,0.728413198,2022
3,tb,2,1.00E-08,0.23,23.53539146,15.52880169,18.12225142,2002
3,tb,2,0.191629142,0.3,22.85940703,11.33515703,16.00158492,2022
3,tb,5,0,0.14,30.18669284,16.95638852,25.96055584,2002
3,tb,5,0,0.1,43.7523411,18.97688233,39.37710699,2022
3,tb,9,0.013548797,0.12,24.5603802,13.50009078,21.61313458,2002
3,tb,9,0.01998361,0.12,29.21932347,14.3966641,25.71300465,2022
3,tb,12,0,0.21,15.22782691,8.368852896,12.02998326,2002
3,tb,12,0.005661612,0.13,26.95684784,12.33015971,23.45245762,2022
3,tb,18,0.018028822,0.13,26.69468094,15.67639684,23.22437242,2002
3,tb,18,1.01E-08,0.12,36.20441617,16.50506985,31.85988623,2022
3,tb,22,0,0.08,41.63764659,18.84911629,38.30663486,2002
3,tb,22,1.12E-05,0.06,54.18342842,19.17080311,50.93242272,2022
3,tb,24,0,0.1,23.14082529,10.48393489,20.82674276,2002
3,tb,24,0.240733415,0.64,24.79900507,10.36392952,8.927641824,2022
3,tb,26,0.048642796,0.83,22.81409528,10.1359418,3.878396197,2002
3,tb,26,0.051712617,0.07,28.8550763,9.380527354,26.83522096,2022
3,tb,29,0,0.04,10.41954827,6.569789348,10.00276634,2002
3,tb,29,0.190200478,0.09,16.64745986,7.735022486,15.14918847,2022
3,tb,33,9.70E-09,0.34,10.18052683,5.594044699,6.719147708,2002
3,tb,33,0.433649868,0.22,17.28742042,9.716097784,13.48418793,2022
3,to,2,0.074926972,0.21,29.09217689,15.89112106,22.98281975,2002
3,to,2,0,0.13,44.30677583,18.32675681,38.54689497,2022
3,to,5,0.200013503,0.22,19.43707842,13.38037402,15.16092117,2002
3,to,5,0.966631055,0.28,36.6618694,22.46755057,26.39654597,2022
3,to,9,0.382287025,0.83,24.79274117,15.60380421,4.214766,2002
3,to,9,0.577072382,0.27,44.21358688,24.10170732,32.27591843,2022
3,to,12,0.273119658,0.75,37.10934742,20.11576457,9.277336856,2002
3,to,12,0,1,70.14126008,40.80547498,0,2022
3,to,18,0.931370676,0.56,11.24394344,10.25010589,4.947335115,2002
3,to,18,1.000000358,0.55,26.23955155,21.727251,11.8077982,2022
3,to,22,0.635347068,0.86,29.13569499,16.62500306,4.078997299,2002
3,to,22,0.084044769,0.15,51.91234579,26.35730603,44.12549392,2022
3,to,24,0.17582117,0.19,30.50621615,19.16517308,24.71003508,2002
3,to,24,0.32545808,0.25,53.40464752,31.53521603,40.05348564,2022
3,to,26,0.052080184,0.22,17.9427158,9.348102957,13.99531832,2002
3,to,26,0.466666669,1,40.57108521,27.32553533,0,2022
3,to,28,0.412733763,0.91,21.63083069,15.64380876,1.946774762,2002
3,to,29,0,0,0,0,0,2022
3,to,31,0.721110284,0.87,25.82570622,16.61398751,3.357341809,2002
3,to,33,0,0,0,0,0,2022
