accepted_symbol,synonym_symbol,scientific_name,common_name,growth_habit
AGHE2,NA,Agoseris heterophylla (Nutt.) Greene,annual agoseris,forb
AGHEH,NA,Agoseris heterophylla (Nutt.) Greene var. heterophylla,annual agoseris,forb
AGST,NA,Agrimonia striata Michx.,roadside agrimony,forb
AGBR4,NA,Agrostemma brachyloba (Fenzl) Hammer,narrow corncockle,forb
AGGI,NA,Agrostemma githago L.,common corncockle,forb
ALRO3,NA,Alcea rosea L.,hollyhock,forb
ALAC2,NA,Aletes acaulis (Torr.) J.M. Coult. & Rose,stemless Indian parsley,forb
ALAN3,NA,Aletes anisatus (A. Gray) W.L. Theobald & C.C. Tseng,Rocky Mountain Indian parsley,forb
ALHU,NA,Aletes humilis J.M. Coult. & Rose,Colorado aletes,forb
ALMA3,NA,Aletes macdougalii J.M. Coult. & Rose,MacDougal's Indian parsley,forb
ALMAB,NA,Aletes macdougalii J.M. Coult. & Rose ssp. breviradiatus W.L. Theobald & C.C. Tseng,MacDougal's Indian parsley,forb
ALSE5,NA,Aletes sessiliflorus W.L. Theobald & C.C. Tseng,sessileflower Indian parsley,forb
ALHA6,NA,Aliciella haydenii (A. Gray) J.M. Porter,San Juan gilia,forb
ALLE7,NA,Aliciella leptomeria (A. Gray) J.M. Porter,sand gilia,forb
ALMC,NA,Aliciella mcvickerae (M.E. Jones) J.M. Porter,Mcvicker's gilia,forb
ALMI10,NA,Aliciella micromeria (A. Gray) J.M. Porter,dainty gilia,forb
ALPE11,NA,Aliciella penstemonoides (M.E. Jones) J.M. Porter,Black Canyon gilia,forb
ALPI2,NA,Aliciella pinnatifida (Nutt. ex A. Gray) J.M. Porter,sticky gilia,forb
ALSE11,NA,Aliciella sedifolia (Brandegee) J.M. Porter,stonecrop gilia,forb
ALST12,NA,Aliciella stenothyrsa (A. Gray) J.M. Porter,Uinta Basin gilia,forb
ALSU10,NA,Aliciella subacaulis (Rydb.) J.M. Porter & L.A. Johnson,pinyon gilia,forb
ALSU9,NA,Aliciella subnuda (Torr. ex A. Gray) J.M. Porter,coral gilia,forb
ALTR14,NA,Aliciella triodon (Eastw.) Brand,coyote gilia,forb
