accepted_symbol,synonym_symbol,scientific_name,common_name,growth_habit
COWE,NA,Corispermum welshii Mosyakin,Welsh's bugseed,forb
COCA13,NA,Cornus canadensis L.,bunchberry dogwood,forb
COAU2,NA,Corydalis aurea Willd.,scrambled eggs,forb
COCA15,NA,Corydalis caseana A. Gray,Sierra fumewort,forb
COCAB2,NA,Corydalis caseana A. Gray ssp. brandegeei (S. Watson) G.B. Ownbey,Brandegee's fumewort,forb
COCU2,NA,Corydalis curvisiliqua Engelm.,curvepod fumewort,forb
COCUG2,NA,Corydalis curvisiliqua Engelm. ssp. grandibracteata (Fedde) G.B. Ownbey,curvepod fumewort,forb
COCUO,NA,Corydalis curvisiliqua Engelm. ssp. occidentalis (Engelm. ex A. Gray) W.A. Weber,curvepod fumewort,forb
COBI2,NA,Cosmos bipinnatus Cav.,garden cosmos,forb
COPA12,NA,Cosmos parviflorus (Jacq.) Pers.,southwestern cosmos,forb
CRDR,NA,Crassula drummondii (Torr. & A. Gray) Fedde,small-leaf pygmyweed,forb
CRAC2,NA,Crepis acuminata Nutt.,tapertip hawksbeard,forb
CRACA,NA,Crepis acuminata Nutt. ssp. acuminata,tapertip hawksbeard,forb
CRACP,NA,Crepis acuminata Nutt. ssp. pluriflora Babc. & Stebbins,tapertip hawksbeard,forb
CRAT,NA,Crepis atribarba A. Heller,slender hawksbeard,forb
CRATA2,NA,Crepis atribarba A. Heller ssp. atribarba,slender hawksbeard,forb
CRCA3,NA,Crepis capillaris (L.) Wallr.,smooth hawksbeard,forb
CRIN4,NA,Crepis intermedia A. Gray,limestone hawksbeard,forb
CRMO4,NA,Crepis modocensis Greene,Modoc hawksbeard,forb
CRMOM,NA,Crepis modocensis Greene ssp. modocensis,Modoc hawksbeard,forb
CRNA,NA,Crepis nana Richardson,dwarf alpine hawksbeard,forb
CRNAC,NA,Crepis nana Richardson ssp. clivicola Leggett,dwarf alpine hawksbeard,forb
CRNAN,NA,Crepis nana Richardson ssp. nana,dwarf alpine hawksbeard,forb
CROC,NA,Crepis occidentalis Nutt.,largeflower hawksbeard,forb
CROCC2,NA,Crepis occidentalis Nutt. ssp. costata (A. Gray) Babc. & Stebbins,largeflower hawksbeard,forb
CROCO2,NA,Crepis occidentalis Nutt. ssp. occidentalis,largeflower hawksbeard,forb
CRRU3,NA,Crepis runcinata (James) Torr. & A. Gray,fiddleleaf hawksbeard,forb
CRRUG,NA,Crepis runcinata (James) Torr. & A. Gray ssp. glauca (Nutt.) Babc. & Stebbins,fiddleleaf hawksbeard,forb
CRRUH2,NA,Crepis runcinata (James) Torr. & A. Gray ssp. hispidulosa (Howell ex Rydb.) Babc. & Stebbins,fiddleleaf hawksbeard,forb
CRRUR,NA,Crepis runcinata (James) Torr. & A. Gray ssp. runcinata,fiddleleaf hawksbeard,forb
CRTE4,NA,Croton texensis (Klotzsch) Müll. Arg.,Texas croton,forb
CRTET,NA,Croton texensis (Klotzsch) Müll. Arg. var. texensis,Texas croton,forb
CRAM3,NA,Cryptantha ambigua (A. Gray) Greene,basin cryptantha,forb
CRAP2,NA,Cryptantha aperta (Eastw.) Payson,Grand Junction cryptantha,forb
CRBA4,NA,Cryptantha bakeri (Greene) Payson,Baker's cryptantha,forb
CRBR7,NA,Cryptantha breviflora (Osterh.) Payson,Uinta basin cryptantha,forb
CRCA7,NA,Cryptantha caespitosa (A. Nelson) Payson,tufted cryptantha,forb
CRCA8,NA,Cryptantha cana (A. Nelson) Payson,mountain cryptantha,forb
CRCE,NA,Cryptantha celosioides (Eastw.) Payson,buttecandle,forb
CRCI3,NA,Cryptantha cinerea (Greene) Cronquist,James' cryptantha,forb
CRCIC,NA,Cryptantha cinerea (Greene) Cronquist var. cinerea,James' cryptantha,forb
CRCIJ,NA,Cryptantha cinerea (Greene) Cronquist var. jamesii (Torr.) Cronquist,James' cryptantha,forb
CRCIP,NA,Cryptantha cinerea (Greene) Cronquist var. pustulosa (Rydb.) Higgins,James' cryptantha,forb
CRCI2,NA,Cryptantha circumscissa (Hook. & Arn.) I.M. Johnst.,cushion cryptantha,forb
CRCIC2,NA,Cryptantha circumscissa (Hook. & Arn.) I.M. Johnst. var. circumscissa,cushion cryptantha,forb
CRCR3,NA,Cryptantha crassisepala (Torr. & A. Gray) Greene,thicksepal cryptantha,forb
CRCRC,NA,Cryptantha crassisepala (Torr. & A. Gray) Greene var. crassisepala,thicksepal cryptantha,forb
CRCRE,NA,Cryptantha crassisepala (Torr. & A. Gray) Greene var. elachantha I.M. Johnst.,thicksepal cryptantha,forb
CREL4,NA,Cryptantha elata (Eastw.) Payson,cliffdweller's cryptantha,forb
CRFE3,NA,Cryptantha fendleri (A. Gray) Greene,sanddune cryptantha,forb
CRFL5,NA,Cryptantha flava (A. Nelson) Payson,Brenda's yellow cryptantha,forb
CRFL6,NA,Cryptantha flavoculata (A. Nelson) Payson,roughseed cryptantha,forb
CRFU,NA,Cryptantha fulvocanescens (S. Watson) Payson,tawny cryptantha,forb
CRFUN,NA,Cryptantha fulvocanescens (S. Watson) Payson var. nitida (Greene) R.C. Sivinski,tawny cryptantha,forb
CRGR3,NA,Cryptantha gracilis Osterh.,narrowstem cryptantha,forb
CRGY,NA,Cryptantha gypsophila Reveal & C.R. Broome,cryptantha,forb
CRHU2,NA,Cryptantha humilis (A. Gray) Payson,roundspike cryptantha,forb
CRKE,NA,Cryptantha kelseyana Greene,Kelsey's cryptantha,forb
CRLO6,NA,Cryptantha longiflora (A. Nelson) Payson,longflower cryptantha,forb
CRME5,NA,Cryptantha mensana (M.E. Jones) Payson,southwestern cryptantha,forb
CRMI5,NA,Cryptantha minima Rydb.,little cryptantha,forb
CROS,NA,Cryptantha osterhoutii (Payson) Payson,Osterhout's cryptantha,forb
CRPA6,NA,Cryptantha paradoxa (A. Nelson) Payson,handsome cryptantha,forb
CRPT,NA,Cryptantha pterocarya (Torr.) Greene,wingnut cryptantha,forb
CRPTC,NA,Cryptantha pterocarya (Torr.) Greene var. cycloptera (Greene) J.F. Macbr.,wingnut cryptantha,forb
CRPTP2,NA,Cryptantha pterocarya (Torr.) Greene var. pterocarya,wingnut cryptantha,forb
CRRE5,NA,Cryptantha recurvata Coville,curvenut cryptantha,forb
CRRO6,NA,Cryptantha rollinsii I.M. Johnst.,Rollins' cryptantha,forb
CRSC2,NA,Cryptantha scoparia A. Nelson,Pinyon Desert cryptantha,forb
CRSE3,NA,Cryptantha sericea (A. Gray) Payson,silky cryptantha,forb
CRST5,NA,Cryptantha stricta (Osterh.) Payson,Yampa River cryptantha,forb
CRTH,NA,Cryptantha thyrsiflora (Greene) Payson,calcareous cryptantha,forb
CRVI4,NA,Cryptantha virgata (Porter) Payson,miner's candle,forb
CRWA2,NA,Cryptantha watsonii (A. Gray) Greene,Watson's cryptantha,forb
CRWE2,NA,Cryptantha weberi I.M. Johnst.,Weber's cryptantha,forb
CRAC3,NA,Cryptogramma acrostichoides R. Br.,American rockbrake,forb
CRST2,NA,Cryptogramma stelleri (S.G. Gmel.) Prantl,fragile rockbrake,forb
CUFO,NA,Cucurbita foetidissima Kunth,Missouri gourd,forb
CUAP2,NA,Cuscuta approximata Bab.,alfalfa dodder,forb
CUCA,NA,Cuscuta californica Hook. & Arn.,chaparral dodder,forb
CUCAB,NA,Cuscuta californica Hook. & Arn. var. breviflora Engelm.,chaparral dodder,forb
CUCU2,NA,Cuscuta cuspidata Engelm.,cusp dodder,forb
CUDE2,NA,Cuscuta denticulata Engelm.,desert dodder,forb
CUDED,NA,Cuscuta denticulata Engelm. var. denticulata,desert dodder,forb
CUGR,NA,Cuscuta gronovii Willd. ex Schult.,scaldweed,forb
CUGRG,NA,Cuscuta gronovii Willd. ex Schult. var. gronovii,scaldweed,forb
CUIN,NA,Cuscuta indecora Choisy,bigseed alfalfa dodder,forb
CUINI,NA,Cuscuta indecora Choisy var. indecora,bigseed alfalfa dodder,forb
CUINN,NA,Cuscuta indecora Choisy var. neuropetala (Engelm.) Hitchc.,bigseed dodder,forb
CUME4,NA,Cuscuta megalocarpa Rydb.,bigfruit dodder,forb
CUPE3,NA,Cuscuta pentagona Engelm.,fiveangled dodder,forb
CUPEP2,NA,Cuscuta pentagona Engelm. var. pentagona,fiveangled dodder,forb
CUUM,NA,Cuscuta umbellata Kunth,flatglobe dodder,forb
CYXA2,NA,Cyclachaena xanthiifolia (Nutt.) Fresen.,carelessweed,forb
CYNA5,NA,Cyclanthera naudiniana Cogn.,Naudin's cyclanthera,forb
CYAT,NA,Cycloloma atriplicifolium (Spreng.) J.M. Coult.,winged pigweed,forb
CYMU,NA,"Cymbalaria muralis G. Gaertn., B. Mey. & Scherb.",Kenilworth ivy,forb
CYAC,NA,Cymopterus acaulis (Pursh) Raf.,plains springparsley,forb
CYACA,NA,Cymopterus acaulis (Pursh) Raf. var. acaulis,plains springparsley,forb
CYACF,NA,Cymopterus acaulis (Pursh) Raf. var. fendleri (A. Gray) Goodrich,Fendler's springparsley,forb
CYBU,NA,Cymopterus bulbosus A. Nelson,bulbous springparsley,forb
CYCO22,NA,Cymopterus constancei R.L. Hartm.,Constance's springparsley,forb
CYDU,NA,Cymopterus duchesnensis M.E. Jones,Uinta Basin springparsley,forb
CYLO,NA,Cymopterus longipes S. Watson,longstalk springparsley,forb
CYMO,NA,Cymopterus montanus Nutt. ex Torr. & A. Gray,mountain springparsley,forb
CYPL,NA,Cymopterus planosus (Osterh.) Mathias,Rocky Mountain springparsley,forb
CYPU,NA,Cymopterus purpurascens (A. Gray) M.E. Jones,widewing springparsley,forb
CYPU2,NA,Cymopterus purpureus S. Watson,purple springparsley,forb
CYOF,NA,Cynoglossum officinale L.,gypsyflower,forb
CYFA,NA,Cypripedium fasciculatum Kellogg ex S. Watson,clustered lady's slipper,forb
CYPA19,NA,Cypripedium parviflorum Salisb.,lesser yellow lady's slipper,forb
CYPAM3,NA,Cypripedium parviflorum Salisb. var. makasin (Farw.) Sheviak,greater yellow lady's slipper,forb
CYPAP3,NA,Cypripedium parviflorum Salisb. var. pubescens (Willd.) Knight,greater yellow lady's slipper,forb
CYFR2,NA,Cystopteris fragilis (L.) Bernh.,brittle bladderfern,forb
CYMO3,NA,Cystopteris montana (Lam.) Bernh. ex Desv.,mountain bladderfern,forb
CYRE15,NA,Cystopteris reevesiana Lellinger,Reeves' bladderfern,forb
CYTE7,NA,Cystopteris tenuis (Michx.) Desv.,upland brittle bladderfern,forb
CYUT2,NA,Cystopteris utahensis Windham & Haufler,Utah bladderfern,forb
DAVI6,NA,"Dactylorhiza viridis (L.) R.M. Bateman, A.M. Pridgeon & M.W. Chase",longbract frog orchid,forb
DAAU,NA,Dalea aurea Nutt. ex Pursh,golden prairie clover,forb
DACA7,NA,Dalea candida Michx. ex Willd.,white prairie clover,forb
DACAO,NA,Dalea candida Michx. ex Willd. var. oligophylla (Torr.) Shinners,white prairie clover,forb
DACY,NA,Dalea cylindriceps Barneby,Andean prairie clover,forb
DAEN,NA,Dalea enneandra Nutt.,nineanther prairie clover,forb
DAJA,NA,Dalea jamesii (Torr.) Torr. & A. Gray,James' prairie clover,forb
DALA3,NA,Dalea lanata Spreng.,woolly prairie clover,forb
DALAL,NA,Dalea lanata Spreng. var. lanata,woolly prairie clover,forb
DALAT,NA,Dalea lanata Spreng. var. terminalis (M.E. Jones) Barneby,woolly prairie clover,forb
DALE3,NA,Dalea leporina (Aiton) Bullock,foxtail prairie clover,forb
DAMU,NA,Dalea multiflora (Nutt.) Shinners,roundhead prairie clover,forb
DANA,NA,Dalea nana Torr. ex A. Gray,dwarf prairie clover,forb
DANAN,NA,Dalea nana Torr. ex A. Gray var. nana,dwarf prairie clover,forb
DAPU5,NA,Dalea purpurea Vent.,purple prairie clover,forb
DAPUA,NA,Dalea purpurea Vent. var. arenicola (Wemple) Barneby,purple prairie clover,forb
DAPUP,NA,Dalea purpurea Vent. var. purpurea,purple prairie clover,forb
DATE5,NA,Dalea tenuifolia (A. Gray) Shinners,slimleaf prairie clover,forb
DAVI,NA,Dalea villosa (Nutt.) Spreng.,silky prairie clover,forb
DAVIV,NA,Dalea villosa (Nutt.) Spreng. var. villosa,silky prairie clover,forb
DAST,NA,Datura stramonium L.,jimsonweed,forb
DAWR2,NA,Datura wrightii Regel,sacred thorn-apple,forb
DACA6,NA,Daucus carota L.,Queen Anne's lace,forb
DEOC,NA,Delphinium ×occidentale (S. Watson) S. Watson (pro sp.) [barbeyi × glaucum],NA,forb
DEAL,NA,Delphinium alpestre Rydb.,Colorado larkspur,forb
DEBA2,NA,Delphinium barbeyi (Huth) Huth,subalpine larkspur,forb
DECA3,NA,Delphinium carolinianum Walter,Carolina larkspur,forb
DECAV2,NA,Delphinium carolinianum Walter ssp. virescens (Nutt.) R.E. Brooks,Carolina larkspur,forb
DEGE2,NA,Delphinium geyeri Greene,Geyer's larkspur,forb
DEGL3,NA,Delphinium glaucum S. Watson,Sierra larkspur,forb
DENU2,NA,Delphinium nuttallianum Pritz. ex Walp.,twolobe larkspur,forb
DERA,NA,Delphinium ramosum Rydb.,mountain larkspur,forb
DERO,NA,Delphinium robustum Rydb.,Wahatoya Creek larkspur,forb
DESC,NA,Delphinium scaposum Greene,tall mountain larkspur,forb
DEWO,NA,Delphinium wootonii Rydb.,Organ Mountain larkspur,forb
DECA6,NA,Descurainia californica (A. Gray) O.E. Schulz,Sierra tansymustard,forb
DEIN5,NA,Descurainia incana (Bernh. ex Fisch. & C.A. Mey.) Dorn,mountain tansymustard,forb
DEINI,NA,Descurainia incana (Bernh. ex Fisch. & C.A. Mey.) Dorn ssp. incana,mountain tansymustard,forb
DEINI2,NA,Descurainia incana (Bernh. ex Fisch. & C.A. Mey.) Dorn ssp. incisa (Engelm. ex A. Gray) Kartesz & Gandhi,mountain tansymustard,forb
DEINP,NA,Descurainia incana (Bernh. ex Fisch. & C.A. Mey.) Dorn ssp. procera (Greene) Kartesz & Gandhi,mountain tansymustard,forb
DEINV,NA,Descurainia incana (Bernh. ex Fisch. & C.A. Mey.) Dorn ssp. viscosa (Rydb.) Kartesz & Gandhi,mountain tansymustard,forb
DEPI,NA,Descurainia pinnata (Walter) Britton,western tansymustard,forb
DEPIB,NA,Descurainia pinnata (Walter) Britton ssp. brachycarpa (Richardson) Detling,western tansymustard,forb
DEPIF,NA,Descurainia pinnata (Walter) Britton ssp. filipes (A. Gray) Detling,western tansymustard,forb
DEPIH,NA,Descurainia pinnata (Walter) Britton ssp. halictorum (Cockerell) Detling,western tansymustard,forb
DEPII,NA,Descurainia pinnata (Walter) Britton ssp. intermedia (Rydb.) Detling,western tansymustard,forb
DEPIN,NA,Descurainia pinnata (Walter) Britton ssp. nelsonii (Rydb.) Detling,Nelson's tansymustard,forb
DEPIP2,NA,Descurainia pinnata (Walter) Britton ssp. paysonii Detling,Payson's tansymustard,forb
DERA2,NA,Descurainia ramosissima Rollins,Villa Grove tansymustard,forb
DESO2,NA,Descurainia sophia (L.) Webb ex Prantl,herb sophia,forb
DECO2,NA,Desmanthus cooleyi (Eaton) Trel.,Cooley's bundleflower,forb
DEIL,NA,Desmanthus illinoensis (Michx.) MacMill. ex B.L. Rob. & Fernald,Illinois bundleflower,forb
DEOB5,NA,Desmodium obtusum (Muhl. ex Willd.) DC.,stiff ticktrefoil,forb
DIAR,NA,Dianthus armeria L.,Deptford pink,forb
DIBA,NA,Dianthus barbatus L.,sweetwilliam,forb
DIDE,NA,Dianthus deltoides L.,maiden pink,forb
DIUN,NA,Dicentra uniflora Kellogg,longhorn steer's-head,forb
DICA4,NA,Dicoria canescens A. Gray,desert twinbugs,forb
DICAB,NA,Dicoria canescens A. Gray ssp. brandegeei (A. Gray) Kartesz,desert twinbugs,forb
DICAW,NA,Dicoria canescens A. Gray ssp. wetherillii (Eastw.) Kartesz,desert twinbugs,forb
DIPU,NA,Digitalis purpurea L.,purple foxglove,forb
DIPUP2,NA,Digitalis purpurea L. ssp. purpurea,purple foxglove,forb
DIWI2,NA,Dimorphocarpa wislizeni (Engelm.) Rollins,touristplant,forb
DIMU2,NA,Diplotaxis muralis (L.) DC.,annual wallrocket,forb
DIFU2,NA,Dipsacus fullonum L.,Fuller's teasel,forb
DILA4,NA,Dipsacus laciniatus L.,cutleaf teasel,forb
DOPU,NA,Dodecatheon pulchellum (Raf.) Merr.,darkthroat shootingstar,forb
DOPUP2,NA,Dodecatheon pulchellum (Raf.) Merr. ssp. pulchellum,darkthroat shootingstar,forb
DRAL4,NA,Draba albertina Greene,slender draba,forb
DRAU,NA,Draba aurea Vahl ex Hornem.,golden draba,forb
DRBO,NA,Draba borealis DC.,boreal draba,forb
DRBR2,NA,Draba breweri S. Watson,cushion draba,forb
DRBRC,NA,Draba breweri S. Watson var. cana (Rydb.) Rollins,cushion draba,forb
DRCR,NA,Draba crassa Rydb.,thickleaf draba,forb
DRCR2,NA,Draba crassifolia Graham,snowbed draba,forb
DRCU,NA,Draba cuneifolia Nutt. ex Torr. & A. Gray,wedgeleaf draba,forb
DRCUC,NA,Draba cuneifolia Nutt. ex Torr. & A. Gray var. cuneifolia,wedgeleaf draba,forb
DREX3,NA,Draba exunguiculata (O.E. Schulz) C.L. Hitchc.,clawless draba,forb
DRFL,NA,Draba fladnizensis Wulfen,Austrian draba,forb
DRFLF2,NA,Draba fladnizensis Wulfen var. fladnizensis,Austrian draba,forb
DRFLP,NA,Draba fladnizensis Wulfen var. pattersonii (O.E. Schultz) Rollins,Austrian draba,forb
DRGL6,NA,Draba globosa Payson,beavertip draba,forb
DRGR2,NA,Draba graminea Greene,Rocky Mountain draba,forb
DRGR3,NA,Draba grayana (Rydb.) C.L. Hitchc.,Gray's draba,forb
DRHE,NA,Draba helleriana Greene,Heller's draba,forb
DRHEH,NA,Draba helleriana Greene var. helleriana,Heller's draba,forb
DRIN2,NA,Draba incerta Payson,Yellowstone draba,forb
DRINI4,NA,Draba incerta Payson var. incerta,Yellowstone draba,forb
DRLO,NA,Draba lonchocarpa Rydb.,lancepod draba,forb
DRLOL,NA,Draba lonchocarpa Rydb. var. lonchocarpa,lancepod draba,forb
DRMA7,NA,Draba macounii O.E. Schulz,Macoun's draba,forb
DRNE,NA,Draba nemorosa L.,woodland draba,forb
DROL,NA,Draba oligosperma Hook.,fewseed draba,forb
DRPO2,NA,Draba porsildii G. Mulligan,Porsild's draba,forb
DRPOP,NA,Draba porsildii G. Mulligan var. porsildii,Porsild's draba,forb
DRRE,NA,Draba rectifructa C.L. Hitchc.,mountain draba,forb
DRRE2,NA,Draba reptans (Lam.) Fernald,Carolina draba,forb
DRSM,NA,Draba smithii Gilg ex O.E. Schulz,Smith's draba,forb
DRSP,NA,Draba spectabilis Greene,showy draba,forb
DRSPO,NA,Draba spectabilis Greene var. oxyloba (Greene) Gilg & Schulz ex O.E. Schulz,showy draba,forb
DRSPS,NA,Draba spectabilis Greene var. spectabilis,showy draba,forb
DRST5,NA,Draba streptobrachia R.A. Price,alpine tundra draba,forb
DRST4,NA,Draba streptocarpa A. Gray,pretty draba,forb
DRVE,NA,Draba ventosa A. Gray,Wind River draba,forb
DRWE,NA,Draba weberi R.A. Price & Rollins,Weber's draba,forb
DRPA2,NA,Dracocephalum parviflorum Nutt.,American dragonhead,forb
DRAN,NA,Drosera anglica Huds.,English sundew,forb
DRRO,NA,Drosera rotundifolia L.,roundleaf sundew,forb
DRROR,NA,Drosera rotundifolia L. var. rotundifolia,roundleaf sundew,forb
DROC,NA,Dryas octopetala L.,eightpetal mountain-avens,forb
DROCH,NA,Dryas octopetala L. ssp. hookeriana (Juz.) Hultén,Hooker's mountain-avens,forb
DREF,NA,Drymaria effusa A. Gray,pinewoods drymary,forb
DREFD,NA,Drymaria effusa A. Gray var. depressa (Greene) J. Duke,pinewoods drymary,forb
DRLE3,NA,Drymaria leptophylla (Cham. & Schltdl.) Fenzl ex Rohrb.,canyon drymary,forb
DREX2,NA,Dryopteris expansa (C. Presl) Fraser-Jenkins & Jermy,spreading woodfern,forb
DRFI2,NA,Dryopteris filix-mas (L.) Schott,male fern,forb
DYAM,NA,Dysphania ambrosioides (L.) Mosyakin & Clemants,Mexican tea,forb
DYAM,CHAMO2,Chenopodium ambrosioides L. var. obovatum Speg.,NA,forb
DYAM,CHAM,Chenopodium ambrosioides L.,NA,forb
DYAM,CHAMA16,Chenopodium ambrosioides L. var. ambrosioides,NA,forb
DYBO,NA,Dysphania botrys (L.) Mosyakin & Clemants,Jerusalem oak goosefoot,forb
DYGR,NA,Dysphania graveolens (Willd.) Mosyakin & Clemants,fetid goosefoot,forb
DYPA,NA,Dyssodia papposa (Vent.) Hitchc.,fetid marigold,forb
ECAN2,NA,Echinacea angustifolia DC.,narrowleaf purple coneflower,forb
ECANA,NA,Echinacea angustifolia DC. var. angustifolia,narrowleaf purple coneflower,forb
ECPU,NA,Echinacea purpurea (L.) Moench,eastern purple coneflower,forb
ECLO,NA,Echinocystis lobata (Michx.) Torr. & A. Gray,wild cucumber,forb
ECSP,NA,Echinops sphaerocephalus L.,great globethistle,forb
ECVU,NA,Echium vulgare L.,common viper's bugloss,forb
EGDE,NA,Egeria densa Planch.,Brazilian waterweed,forb
EICR,NA,Eichhornia crassipes (Mart.) Solms,common water hyacinth,forb
ELBR5,NA,Elatine brachysperma A. Gray,shortseed waterwort,forb
ELRU,NA,Elatine rubella Rydb.,southwestern waterwort,forb
ELNY,NA,Ellisia nyctelea (L.) L.,Aunt Lucy,forb
ELBI2,NA,Elodea bifoliata H. St. John,twoleaf waterweed,forb
ELCA7,NA,Elodea canadensis Michx.,Canadian waterweed,forb
ELNU2,NA,Elodea nuttallii (Planch.) H. St. John,western waterweed,forb
ENNU4,NA,Encelia nutans Eastw.,nodding sunray,forb
ENNU,NA,Enceliopsis nudicaulis (A. Gray) A. Nelson,nakedstem sunray,forb
ENNUN,NA,Enceliopsis nudicaulis (A. Gray) A. Nelson var. nudicaulis,nakedstem sunray,forb
ENDI,NA,Endolepis dioica (Nutt.) Standl.,Suckley's endolepis,forb
ENPE4,NA,Engelmannia peristenia (Raf.) Goodman & C.A. Lawson,Engelmann's daisy,forb
EPAN4,NA,Epilobium anagallidifolium Lam.,pimpernel willowherb,forb
EPBR3,NA,Epilobium brachycarpum C. Presl,tall annual willowherb,forb
EPCI,NA,Epilobium ciliatum Raf.,fringed willowherb,forb
EPCIC,NA,Epilobium ciliatum Raf. ssp. ciliatum,fringed willowherb,forb
EPCIG,NA,Epilobium ciliatum Raf. ssp. glandulosum (Lehm.) Hoch & P.H. Raven,fringed willowherb,forb
EPCL,NA,Epilobium clavatum Trel.,talus willowherb,forb
EPHA,NA,Epilobium halleanum Hausskn.,glandular willowherb,forb
EPHO,NA,Epilobium hornemannii Rchb.,Hornemann's willowherb,forb
EPHOH,NA,Epilobium hornemannii Rchb. ssp. hornemannii,Hornemann's willowherb,forb
EPLA3,NA,Epilobium lactiflorum Hausskn.,milkflower willowherb,forb
EPLE,NA,Epilobium leptocarpum Hausskn.,slenderfruit willowherb,forb
EPLE2,NA,Epilobium leptophyllum Raf.,bog willowherb,forb
EPOR2,NA,Epilobium oregonense Hausskn.,Oregon willowherb,forb
EPPA,NA,Epilobium palustre L.,marsh willowherb,forb
EPSA,NA,Epilobium saximontanum Hausskn.,Rocky Mountain willowherb,forb
EPGI,NA,Epipactis gigantea Douglas ex Hook.,stream orchid,forb
EPHE,NA,Epipactis helleborine (L.) Crantz,broadleaf helleborine,forb
EQFE,NA,Equisetum ×ferrissii Clute (pro sp.) [hyemale × laevigatum],NA,forb
EQNE,NA,Equisetum ×nelsonii (A.A. Eaton) Schaffn. (pro sp.) [laevigatum × variegatum],horsetail,forb
EQAR,NA,Equisetum arvense L.,field horsetail,forb
EQHY,NA,Equisetum hyemale L.,scouringrush horsetail,forb
EQHYA,NA,Equisetum hyemale L. var. affine (Engelm.) A.A. Eaton,scouringrush horsetail,forb
EQLA,NA,Equisetum laevigatum A. Braun,smooth horsetail,forb
EQPR,NA,Equisetum pratense Ehrh.,meadow horsetail,forb
EQVA,NA,Equisetum variegatum Schleich. ex F. Weber & D. Mohr,variegated scouringrush,forb
EQVAV,NA,Equisetum variegatum Schleich. ex F. Weber & D. Mohr var. variegatum,variegated scouringrush,forb
ERDI2,NA,Eriastrum diffusum (A. Gray) H. Mason,miniature woollystar,forb
ERAC2,NA,Erigeron acris L.,bitter fleabane,forb
ERACD2,NA,Erigeron acris L. ssp. debilis (A. Gray) Piper,bitter fleabane,forb
ERACP2,NA,Erigeron acris L. ssp. politus (Fr.) Schinz & R. Keller,bitter fleabane,forb
ERAP,NA,Erigeron aphanactis (A. Gray) Greene,rayless shaggy fleabane,forb
ERAPA2,NA,Erigeron aphanactis (A. Gray) Greene var. aphanactis,rayless shaggy fleabane,forb
ERAR3,NA,Erigeron argentatus A. Gray,silver fleabane,forb
ERBE2,NA,Erigeron bellidiastrum Nutt.,western daisy fleabane,forb
ERBEB,NA,Erigeron bellidiastrum Nutt. var. bellidiastrum,western daisy fleabane,forb
ERBER,NA,Erigeron bellidiastrum Nutt. var. robustus Cronquist,western daisy fleabane,forb
ERCA2,NA,Erigeron caespitosus Nutt.,tufted fleabane,forb
ERCA4,NA,Erigeron canus A. Gray,hoary fleabane,forb
ERCO28,NA,Erigeron colomexicanus A. Nelson,running fleabane,forb
ERCO4,NA,Erigeron compositus Pursh,cutleaf daisy,forb
ERCO27,NA,Erigeron concinnus (Hook. & Arn.) Torr. & A. Gray,Navajo fleabane,forb
ERCOC3,NA,Erigeron concinnus (Hook. & Arn.) Torr. & A. Gray var. concinnus,Navajo fleabane,forb
ERCOS,NA,Erigeron concinnus (Hook. & Arn.) Torr. & A. Gray var. subglaber (Cronquist) G.L. Nesom,Navajo fleabane,forb
ERCO15,NA,Erigeron consimilis Cronquist,foothill fleabane,forb
ERCO6,NA,Erigeron coulteri Porter,large mountain fleabane,forb
ERDI4,NA,Erigeron divergens Torr. & A. Gray,spreading fleabane,forb
EREA,NA,Erigeron eatonii A. Gray,Eaton's fleabane,forb
EREAE,NA,Erigeron eatonii A. Gray var. eatonii,Eaton's fleabane,forb
EREL9,NA,Erigeron elatior (A. Gray) Greene,tall fleabane,forb
EREN,NA,Erigeron engelmannii A. Nelson,Engelmann's fleabane,forb
ERENE,NA,Erigeron engelmannii A. Nelson var. engelmannii,Engelmann's fleabane,forb
EREX4,NA,Erigeron eximius Greene,sprucefir fleabane,forb
ERFL,NA,Erigeron flagellaris A. Gray,trailing fleabane,forb
ERFO3,NA,Erigeron formosissimus Greene,beautiful fleabane,forb
ERGL2,NA,Erigeron glabellus Nutt.,streamside fleabane,forb
ERGLG,NA,Erigeron glabellus Nutt. var. glabellus,streamside fleabane,forb
ERGLP,NA,Erigeron glabellus Nutt. var. pubescens Hook.,streamside fleabane,forb
ERGR3,NA,Erigeron grandiflorus Hook.,largeflower fleabane,forb
ERGRG,NA,Erigeron grandiflorus Hook. ssp. grandiflorus,largeflower fleabane,forb
ERHU,NA,Erigeron humilis Graham,arctic alpine fleabane,forb
ERKA,NA,Erigeron kachinensis S.L. Welsh & Glen Moore,kachina fleabane,forb
ERLA,NA,Erigeron lanatus Hook.,woolly fleabane,forb
ERLE6,NA,Erigeron leiomerus A. Gray,rockslide yellow fleabane,forb
ERLO,NA,Erigeron lonchophyllus Hook.,shortray fleabane,forb
ERME2,NA,Erigeron melanocephalus (A. Nelson) A. Nelson,blackhead fleabane,forb
ERNE2,NA,Erigeron nematophyllus Rydb.,needleleaf fleabane,forb
ERPE3,NA,Erigeron peregrinus (Banks ex Pursh) Greene,subalpine fleabane,forb
ERPEC,NA,Erigeron peregrinus (Banks ex Pursh) Greene ssp. callianthemus (Greene) Cronquist,subalpine fleabane,forb
